Name;Address;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Moe Dog Pet Shop;Rua Leonardo Martins Neto, 615 - Bairro dos Casa, São Bernardo do Campo;5;17;ChIJsUtwYfJBzpQRMQYtspIOxGw;pet_store;-23.7328564;-46.5746358
Petutinho Pet Shop;Avenida Presidente João Café Filho, 1721 - Assunção, São Bernardo do Campo;5;28;ChIJNS-Jfz9BzpQRfkyZyygMO-M;pet_store;-23.72922980000001;-46.56935060000001
Lava Dog;Rua Leonardo Martins Neto, 623 - Bairro dos Casa, São Bernardo do Campo;4.7;15;ChIJ7ym98UFBzpQRPMaQPCTJTlg;pet_store;-23.7328249;-46.574877
SOS Pet Clínica Veterinária Popular;Avenida Capitão Casa, 1279 - Vila Jerusalem, São Bernardo do Campo;5;24;ChIJJz36Vy1BzpQRxOvvTpvv38M;pet_store;-23.72856509999999;-46.56549340000001
Pet Shop Bom Faro;Rua Monteiro Lobato, 59 - Dos Casas, São Bernardo do Campo;5;7;ChIJu6-YWR9DzpQRhlHqENMFYNc;pet_store;-23.7294881;-46.5736632
Moda do Cão;R: Antonio da Costa Lima, 241 - dos Casas, São Bernardo do Campo;5;4;ChIJic_0sZ1pzpQRhkb1D_e_IH8;pet_store;-23.7303607;-46.5759499
Lilicão Roupas Pós Cirurgicas;Rua Antônio da Costa Lima, 127 - Jardim Claudia, São Bernardo do Campo;N/A;N/A;ChIJRw6aGSBBzpQR0wGzhl3FvhY;pet_store;-23.7292893;-46.5763361
Pet House;Rua Maria da Natividade Lages, 161 - Jardim Lavinia, São Bernardo do Campo;N/A;N/A;ChIJ2U39V1VBzpQRMJpxBl-2zHk;pet_store;-23.7263934;-46.56335170000001
Mafra Pet (Patokitas);Rua Israel Pinheiro, 151 - Dos Casa, São Bernardo do Campo;N/A;N/A;ChIJ3evZ5XNBzpQRFI-3yDg4K4w;pet_store;-23.7277756;-46.56044759999999
Arte e Pet;Avenida Capitão Casa - Vila Jerusalem, São Bernardo do Campo;1;1;ChIJB5ZeS1FBzpQRTo1RbQ452y4;pet_store;-23.72630490000001;-46.5625956
Fauna Avicultura e Pet Shop;Estrada dos Alvarengas, 2581 - Jardim Claudia, São Bernardo do Campo;4.4;63;ChIJJV3iGSxBzpQRzrlBSI6jMb8;pet_store;-23.728226;-46.576581
Império Animal Banho E Tosa;Estrada dos Alvarengas, 470 - Assunção, São Bernardo do Campo;5;1;ChIJDSqq0VxBzpQRKUxW2e-YHLk;pet_store;-23.7278646;-46.57692789999999
Animalis pet;Rua Pedro Brêda, 315 - Jardim Campestre, São Bernardo do Campo;5;31;ChIJ3V2hD8xBzpQRT-ckMVxOa6E;pet_store;-23.7340433;-46.5812982
Anêmonas;Rua Miosótis, 530 - Cidade Miramar, São Bernardo do Campo;1;1;ChIJVVWBbWVBzpQRYrblPOZxZjE;pet_store;-23.7235319;-46.5662087
BR PET STORE Tudo para seu banho e tosa;Rua Heitor de Souza, 109 - Assunção, São Bernardo do Campo;4.9;35;ChIJ1RtCN_1BzpQRZAxhd16npSc;pet_store;-23.7262165;-46.5569399
PET LOVERS Pet Shop;Área Verde - Praça Giovani Breda, 1884 - Assunção, São Bernardo do Campo;4.7;204;ChIJV_Dc7F1BzpQRjFQOyjJ3Q9o;pet_store;-23.72360149999999;-46.5749843
Bichos e Caprichos;Avenida Capitão Casa, 378 - Vila Jerusalem, São Bernardo do Campo;4.3;526;ChIJgd_geXZBzpQRdfDEjwqt-CI;veterinary_care;-23.7255431;-46.5567234
Estrela Pet;Rua das Orquideas, 748 - Vila Marchi, São Bernardo do Campo;1;2;ChIJGdbf6nxYzpQRy1gEVgrpzrk;pet_store;-23.722146;-46.5620101
Pet Shop Vida Canina;Avenida Senador Ricardo Batista, 492 - Assunção, São Bernardo do Campo;4.8;42;ChIJ_R97B15BzpQRa0Xr30-zgeA;pet_store;-23.722615;-46.57447759999999
Dafer Mar - Peixaria;Avenida João Firmino, 729 - Assunção, São Bernardo do Campo;4.7;578;ChIJUZlQ12RBzpQRCQk0n8mI7_M;pet_store;-23.7213647;-46.5650591
LITTLE PET SHOP;Praça Pedro, Rua João Marçon, 30 - Assunção, São Bernardo do Campo;5;1;ChIJMZjnNkVDzpQRf3V38EX2dfk;pet_store;-23.7214768;-46.564322
RainhaPet;Rua Inácio Pedó, 63 - Conjunto Residencial Enseada, São Bernardo do Campo;N/A;N/A;ChIJ9fRp7F5BzpQR7tV5kXw_erc;pet_store;-23.7231713;-46.5765102
Pet Shop Móvel Ai que Pelo;Avenida Bunduki, 120 - Assunção, São Bernardo do Campo;4.8;35;ChIJW7D_H0dBzpQRNrZgFrOFKtI;pet_store;-23.7213576;-46.5720071
Dog Show Pet Shop Rações Veterinário LTDA;Rua Cristiano Angeli, 474 - Assunção, São Bernardo do Campo;4.7;46;ChIJo1TLSGRBzpQRtl1K9cV8jeE;veterinary_care;-23.7203211;-46.5679751
Espaço Lelis Pet Shop;Avenida Senador Ricardo Batista, 789 - Assunção, São Bernardo do Campo;4.9;39;ChIJ36G4zrRBzpQRYt8nOVOeiGY;pet_store;-23.7228617;-46.5774376
Magnusson Aquarismo;Avenida Pedro Costa, 20 - Assunção, São Bernardo do Campo;4.9;48;ChIJZ8PExZFBzpQRgygNt48JfJo;pet_store;-23.7206413;-46.5725896
Pet Shop & Avicultura Mata Verde;Estrada dos Alvarengas, 4516 - Assunção, São Bernardo do Campo;4.7;166;ChIJibjUGE9BzpQRSZv__y-GHlk;pet_store;-23.734824;-46.58580300000001
Emporium Do Bicho;Rua Padre Antônio de Souza Lima, 409 - Jardim Via Anchieta, São Bernardo do Campo;4.8;4;ChIJ_fyUJI9BzpQRsdnWurpwqSU;pet_store;-23.7212038;-46.57727489999999
AMANDA G PANANGEIRO CLÍNICA VETERINÁRIA;Rua Wadia Jafete Assad, 232 - Sobreloja - Bairro dos Casa, São Bernardo do Campo;4.8;53;ChIJr3-jAOtDzpQRvIFztCjzTv8;veterinary_care;-23.7273619;-46.5703857
